"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",4,"Eff_S",-0.053539795971809,0.0408303509489878,-0.133565813307956,0.0264862213643379,1472,232,1704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",4,"Eff_P",0.0152813221973908,0.0302604805903328,-0.0440281299145347,0.0745907743093164,1472,232,1704,NA,-2.11172483711863,NA,NA,NA,-0.588515148450331,NA,NA,NA,-0.687750009121278,NA,NA,NA,NA,NA,NA,NA
"S4",4,"Eff1_union",-0.0129713602803739,0.0486931120777738,-0.108408106247983,0.082465385687235,1472,232,1704,NA,-2.05243790894782,0.0911332143573475,-2.23105572688359,-1.87382009101205,-0.648108710095587,0.0939974780812633,-0.832340381772456,-0.463877038418718,-0.746762737601527,0.105542193078541,-0.95362163488484,-0.539903840318213,NA,NA,NA,NA
"S4",4,"Eff2_union",-0.0143193564684812,0.0494835253230454,-0.111305283929726,0.0826665709927635,1472,232,1704,NA,-2.07472071743046,0.0889715554057479,-2.24910176167424,-1.90033967318669,-0.63420716959129,0.0911757869056132,-0.812908428188391,-0.45550591099419,-0.726430093048555,0.101764509042228,-0.925884865675722,-0.526975320421388,NA,NA,NA,NA
"S4",4,"Eff1",-0.0470414936497049,0.0411858892178553,-0.127764353187958,0.0336813658885479,1472,232,1704,NA,-2.16863916869858,0.0386760427302733,-2.24444281951445,-2.09283551788271,-0.4819036607391,0.200154428224052,-0.87419913140445,-0.0896081900737513,-0.713098717446925,0.0913316853093658,-0.892105531300628,-0.534091903593223,NA,NA,NA,NA
"S4",4,"Eff2",-0.0262740236696207,0.0358448466785967,-0.0965286321910303,0.0439805848517889,1472,232,1704,NA,-2.1451206407163,0.0384762765897661,-2.22053275709144,-2.06970852434115,-0.453888068115624,0.0839846141776686,-0.618494887159346,-0.289281249071902,-0.740619032505864,0.0918775068398009,-0.920695636901206,-0.560542428110522,NA,NA,NA,NA
"S4",5,"P",-0.0130100007591193,0.110986160222344,-0.230538877577305,0.204518876059067,1495,285,1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",5,"NP",-0.0975405917546856,0.0323957091770041,-0.161035014995247,-0.0340461685141239,1495,285,1780,NA,-2.1397129748218,NA,NA,NA,-0.53986964204821,NA,NA,NA,-0.612658795915366,NA,NA,NA,NA,NA,NA,NA
"S4",5,"NP_P",0.0547549234623349,0.0297065382101551,-0.00346882153493194,0.112978668459602,1495,285,1780,NA,-2.02291850017648,NA,NA,NA,-0.316884649636644,NA,NA,NA,-0.882458656352117,NA,NA,NA,NA,NA,NA,NA
"S4",5,"Eff_S",-0.126339764777937,0.0548141929614166,-0.233773608823943,-0.0189059207319316,1495,285,1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",5,"Eff_P",-0.121376504143926,0.0365757816255139,-0.193063718836335,-0.0496892894515169,1495,285,1780,NA,-2.35326735540976,NA,NA,NA,-0.4501908220985,NA,NA,NA,-0.664990565210597,NA,NA,NA,NA,NA,NA,NA
"S4",5,"Eff1_union",-0.0306038859957647,0.0746821221941999,-0.176978155785416,0.115770383793887,1495,285,1780,NA,-2.33977023427419,0.0816567115428066,-2.49981444799407,-2.17972602055432,-0.479887266945437,0.0822476942339381,-0.641089785455418,-0.318684748435456,-0.673991931741299,0.0934054823589548,-0.857063313123442,-0.490920550359156,NA,NA,NA,NA
"S4",5,"Eff2_union",-0.0346806783165888,0.0754322731577508,-0.182525216977768,0.11316386034459,1495,285,1780,NA,-2.34039339370066,0.0815562131778816,-2.50024063424477,-2.18054615315654,-0.471473442035654,0.0817607830196129,-0.631721632101889,-0.311225251969419,-0.67068510354011,0.093703094427451,-0.85433979385787,-0.48703041322235,NA,NA,NA,NA
"S4",5,"Eff1",-0.0103525352380071,0.0248530549573785,-0.0590636278602636,0.0383585573842495,1495,285,1780,NA,-2.11596971600012,0.0359674838553535,-2.18646468897114,-2.0454747430291,-0.528512000087104,0.0632799114831362,-0.652538347538934,-0.404485652635275,-0.697503625174087,0.0566951717188239,-0.808624119840296,-0.586383130507879,NA,NA,NA,NA
